PSE Delta 20A;N Sample
4,273587281;1
-2,896272634;2
-3,188085967;3
-2,283446416;4
1,02281669;5
-1,328137046;6
-7,272614186;7
1,880095323;8
4,017351113;9
-3,84228698;10
-8,680539137;11
-3,039342683;12
2,265726105;13
-3,293757952;14
-1,486137757;15
-4,856425748;16
-4,615071938;17
-0,339502805;18
3,959876108;19
-4,264549238;20
-6,413327814;21
-1,693777887;22
-2,35179852;23
