PSE Delta 20S;N Sample
-7,770982992;1
-2,794653333;2
3,765022059;3
-1,975158466;4
-5,517788705;5
-2,043893721;6
-13,23960325;7
-2,256795943;8
-0,25410109;9
4,0711172;10
1,144351122;11
-2,914546309;12
-0,581551908;13
-5,842312631;14
-1,659651464;15
0,907143467;16
-2,852816622;17
1,031209965;18
2,16806508;19
-8,432785614;20
2,709498725;21
-8,986085465;22
-2,117063984;23
